id,sentence,emotion
554,It icks me when people do not wash their hands regulaly.,disgust
555,Aron's heart raced with fear as she heard strange noises coming from the attic.,fear
556,"The sound of distant sirens echoed through the empty streets, a somber reminder of the tragedies that lurked in the shadows of the city.",fear
557,"The sight of the slimy, mould-covered walls of the abandoned house made me want to throw up. ",disgust
558,My friends love when I asked them questions about the things they like.,happiness
559,She is interested in learning Dutch.,happiness
560,The monkey gets really excited when it is fed a banana.,happiness
561,You betrayed me even though I trusted you with my life!,anger
562,"The moment the sun broke through the clouds, I couldn't help but smile.",happiness
563,"When I finally see my girlfriend after four months apart, I�ll jump for joy!",happiness
564,My dad gets disgusted when he sees people digging gold in their noses. ,disgust
565,He finds it nasty when someone leaves their dirty socks on the floor,disgust
566,Ralph jumped out of his skin when he heard the gunshot.,fear
567,The slimy texture of the food revolted me,disgust
568,Rachel boiled with anger discovering her project was plagiarized.,anger
569,The eerie silence in the abandoned building left me feeling uneasy.,fear
570,The gruesome scene in the movie turned my stomach.,disgust
571,Witnessing someone spit on the ground in public sends a wave of disgust through me.,disgust
572,I'm depressed because my boyfriend left me for a prettier woman. ,sadness
573,I never expected that you would be so tall,surprise
574,Winning the game brought a wave of joy over me!,happiness
575,The stench of garbage left to rot in the summer sun is enough to make anyone's stomach turn.,disgust
576,I was astonished by the paintings of Vincent van Gogh.,surprise
577,My grandma is happy when grandpa gives her flowers.,happiness
578,I feel lost and without a purpose in life...,sadness
579,She was crying a river when watching the movie.,sadness
580,"She was worried about Mike, because he stopped responding to her messages.  ",sadness
581,"The empty chair at the table during the holidays served as a stark reminder, enveloping me in a deep sadness.",sadness
582,I cried because my dad forgot my birthday.,sadness
583,Lily felt proud when she received her grade.,happiness
584,I am surprised.,surprise
585,Why would you spit on the floor ?,disgust
586,"The eerie silence enveloped her like a suffocating blanket, intensifying her sense of dread.",fear
587,The child had a sad look on his face while looking at his broken toy.,sadness
588,When his father abandoned him he felt really bad.,sadness
589,I watched a sad movie last night and still haven't recovered.,sadness
590,I am disgusted.,disgust
591,Stepping in a puddle of muddy water left him feeling utterly disgusted. ,disgust
592,Tom's jaw dropped when he discovered his favorite band's secret concert in the local venue.,surprise
593,I cry when I loose my toys.,sadness
594,I feel so happy when I hear this song!,happiness
595,"He walked alone, the empty streets echoing his heavy heart.",sadness
596,You startled me!,fear
597,I sometimes get really scared because of intrusive thoughts,fear
598,You are an awful person for doing this to me.,sadness
599,Getting a low grade gives me negative emotions,sadness
600,I just got fired from my job.,sadness
601,"Look, a double rainbow!",surprise
602,Getting sick and missing the party made me feel down and lonely.,sadness
603,I feel horrible whenever I don't succeed at doing something,anger
604,I can not stand it if someone snores.,disgust
605,Saying goodbye never gets easier.,sadness
606,I am so glad that I got this job. ,happiness
607,I find it very offended when my mother is too direct with me.,anger
608,I'm sad the last few days before my vacation ends.,sadness
609,I get nauseus from the smell of motor oil.,disgust
610,everybody was ecstatic to continue the party after the rain had stopted ,happiness
611,They were too stunned to speak when the management broke the news to them.,surprise
612,Riding a roller coaster is always really exciting.,happiness
613,I get frustrated when someone interrupts me while I'm talking.,anger
614,Soldering iron is free to use in library,happiness
615,It feels uncomfortable to sit in a cramped space in a classroom.,fear
616,Executive Disfunction makes me depressed.,sadness
617,"The quiet of the empty room echoed my loneliness, making me feel even more isolated.",sadness
618,I get angry when there is no organization.,anger
619,I feel nauseated when I step in something slimy and unknown on the sidewalk.,disgust
620,I feel sad when something doesn't go to plan,sadness
621,I felt guilty after storming out of this meeting.,sadness
622,My mother is finally relieved that surgery is over. ,happiness
623,The slimy texture of the food made me feel quite repulsed.,disgust
624,It's unbelievable to bump into you randomly like this!,surprise
625,He expressed his revulsion towards the whale hunting.,anger
626,The laughter of my dad fills me with happiness.,happiness
627,The thought of failing my exams is terrifying.,fear
628,"It's so frustrating when you're working on something and you hit a roadblock because something's missing, stalling your progress.",sadness
629,I am surprised whenever there's a active discount on products I want,surprise
630,She's so lonely .,sadness
631,The creaking noise upstairs when I'm home alone sends a chill down my spine.,fear
632,The rain-soaked teddy bear on the sidewalk left Emma with a deep sense of melancholy.,sadness
633,I was not expecting my boyfriend to surprise me with a cake on my birthday!,surprise
634,I got threatened in the center today.,fear
635,It's hard to be alone.,sadness
636,"Frustrated by a series of mishaps, she clenched her fists, feeling the heat of anger rising within her.",anger
637,I�m just really unhappy.,sadness
638,She felt disgusted when he made a move on her.,disgust
639,That tower is way taller than I expected.,surprise
640,I enjoy tears and suffering when there is purpose behind the activity.,happiness
641,I was so disgusted seeing a cockroach crawling over the kitchen floor.,disgust
642,The crowd panicked and stampeded for the exit.,fear
643,The feeling of stepping on something sticky and unknown on the floor is deeply unpleasant.,disgust
644,This song sucks !,anger
645,I am grossed out if someone sticks a gum under a table.,disgust
646,I hate it when it rains this much.,anger
647,I saw all the litter in the city and I was so disgusted.,disgust
648,I don't like when you are behaving like that!,anger
649,"What a coincidence to run into you here in the park, of all places!",surprise
650,Molded bread is a very disgusting sight.,disgust
651,He was surprised when he found out he wasn't the father.,surprise
652,His dropped ice cream made him sad on a hot afternoon.,sadness
653,The stench of the dump was unbearable when we passed by.,disgust
654,Accomplishing a long-term goal left him feeling a deep sense of contentment and fulfillment.,happiness
655,His condescending tone during our argument filled me with irritation.,anger
656,I am disgusted by the sound of that language.,disgust
657,I hate the way Valentina dresses.,anger
658,Hearing that song always brings back a wave of nostalgia and sadness.,sadness
659,My dad is proud of me when I do well in school.,happiness
660,I'm definitely not getting chills from sounds behind me in the dark with no light.,fear
661,I can't believe you remembered.,surprise
662,My dad gets worried whenever I offer to drive us to family gatherings.,fear
663,"The idea of getting lost in the vast, empty space of the ocean terrifies me.",sadness
664,She missed the sound of laughter that once filled her home.,happiness
665,The sun's gentle warmth and perfect temperature make it a day where neither sunglasses nor jackets are needed.,happiness
666,I loathe price inflation!,anger
667,I can't believe this.,surprise
668,She's excited about the upcoming concert.,happiness
669,Sarah beamed with happiness as she unwrapped the long-awaited book gift.,happiness
670,I hate when my roommate throws my laundry on the floor!,anger
671,I hate my landlord.,anger
672,Walking alone in the dark alley sent shivers of fear down her spine. ,fear
673,The news of her grandmother's passing engulfed her in profound sadness. ,sadness
674,I flabbergasted the president with my question.,surprise
675,I am amazed by the beautiful flowers growing in my grandma's garden.,happiness
676,Witnessing acts of kindness in the world fills me with happiness.,happiness
677,I felt so excited for this trip.,happiness
678,I get enraged when traffic makes me late for work.,anger
679,"Couples twirled on the dance floor, their smiles radiating pure happiness.",happiness
680,The movie's sad ending left me with tears streaming down my face.,sadness
681,My grandmother is happy when I visit her. ,happiness
682,Injustice frustrates me immensely,anger
683,I really miss my friends.,sadness
684,I'm amazed you remembered our first date!,surprise
685,"The sudden turbulence during the flight sent a wave of fear through the passengers, reminding us of our vulnerability.",fear
686,I'm utterly disgusted by the lack of hygiene in public restrooms.,disgust
687,I get nightmares when I see clowns.,fear
688,My blood boils when I witness bullying or unfair treatment.,anger
689,I am shocked that there was an earthquake.,surprise
690,I feel disgusted whenever someone burps loudly,disgust
691,I get nauseous whenever I think about her.,fear
692,"The news of his promotion came as a complete surprise, as he had never mentioned it before.",surprise
693,Emma felt depressed when she lost her grandmother.,sadness
694,The sight of the rotten food made me sick to my stomach.,disgust
695,"Oh my god, I am so excited to meet you finally!",happiness
696,I am amazed I even made it this far.,happiness
697,A delighted squeal erupted from her lips as she unwrapped the mysterious gift.,surprise
698,I found a massive spider nest under my bed,surprise
699,I don't think we can deliver this presentation well.,sadness
700,The boss snapped at the employee for making multiple mistakes.,anger
701,A wave of nausea engulfed him.,disgust
702,I worry I will not pass the block.,fear
703,I love cats !,happiness
704,A loud thunk startled me in the middle of a forest.,fear
705,I get very anxious when I think about competitions.,fear
706,The sound of thunder makes me jump out of my skin!,fear
707,He felt uneasy in the owner's living room.,fear
708,The end of my favorite book left me feeling melancholy.,sadness
709,"Old friends shared laughter, creating a warm happiness during their reunion.",happiness
710,Unexpected loud noises make him jump every time.,fear
711,What are they going to do to us now?,fear
712,"Encountering endless problems while trying to fix something, only to ultimately fail, makes my blood boil.",anger
713,Witnessing an act of cruelty towards animals filled her with disgust towards humanity. ,disgust
714,David's eyes welled up with tears as he watched a sad movie.,sadness
715,Looking into spider eyes and fangs,disgust
716,I can't look at someone smoking cigarettes ugh.,disgust
717,"Critics reviled the new policy, calling it short-sighted and harmful to the community.",surprise
718,"I was stunned when I saw my childhood friend waiting for me at the airport, a surprise reunion after years apart.",surprise
719,"He forgot to take a shower, 2 weeks ago.",disgust
720,"When my laptop breaks without me making backups, it's a nightmare.",anger
721,I really appreciate your help; it made a huge difference.,happiness
722,It is a miracle I have not had a car accident yet.,surprise
723,"Tea with milk is a disgusting combination, I don't like it.",disgust
724,The thought of speaking in front of a large crowd paralyzes me with fear.,fear
725,The constant noise from the neighbor's party at 3 AM filled me with an intense fury.,anger
726,My anxiety grew when I did not hear back from my mom.,fear
727,The thought of being watched when I can't see anyone around makes my hair stand on end.,fear
728,Disgust flashed in her eyes as she watched the cockroach scuttle across the kitchen counter.,disgust
729,"Seeing the old, abandoned house, memories of better times flooded back, bringing tears to my eyes.",sadness
730,"My purse keeps sliding off my shoulder, it�s so annoying. ",anger
731,I was having a lovely chat with a friend while we walked home.,happiness
732,I get repulsed when people don�t follow basic table etiquette.,anger
733,I'm sad when I forgot to charge my phone. ,sadness
734,Tears welled up in her eyes as she remembered her childhood friend who had passed away.,sadness
735,The sight and smell of the spoiled milk in the refrigerator made my stomach churn with disgust.,disgust
736,"When I saw the dog wagging its tail as I approached, a surge of happiness washed over me.",happiness
737,Cat gets angry when I catch her and put her in air jail (holding her in the air while she can't do nothing about it),anger
738,People were stunned to find out that Pluto is not a planet.,surprise
739,I detest people listening to music on a train without headphones.,anger
740,My friends always worry about me when I respond late to texts.,fear
741,Many people are afraid of skydiving.,fear
742,I am drifting away in space without control,anger
743,Their treatment of the environment is downright disgusting.,disgust
744,I don't think oranges should be that color.,sadness
745,My friend felt offended when someone asked about her religion.,anger
746,"The creaking sounds in the empty house sent a shiver of fear down my spine, imagining unseen visitors in the dark.",fear
747,Sharing laughter with loved ones around a crackling bonfire created unforgettable memories. ,happiness
748,"Well, if the dams break, I'll just float away gracefully, no need to worry about my swimming skills!",fear
749,I'm so eager to meet my celebrity crush this friday!,happiness
750,The news of my dog passing left a void filled with an inconsolable sadness.,sadness
751,"Watching the sunset, she felt a deep longing for days that would never return.",sadness
752,I felt let down when my friend did not show up on time. ,anger
753,I was surprised to learn that he's moving abroad. ,surprise
754,The sudden appearance of a spider caused him to jump back in fear.,fear
755,Those children seem so happy playing in the swing.,happiness
756,Receiving a heartfelt compliment from a friend made his day brighter. ,happiness
757,It's so frustrating when it starts raining.,sadness
758,Emily's eyes sparkled with joy when she heard she could have a puppy.,happiness
759,My dog is wagling it's tail,happiness
760,I'm happy when I have time to watch cycling races.,happiness
761,I get sad whenever the week is over.,sadness
762,It's infuriating when people cancel plans at the last minute!,anger
763,I feel lonely when my friends leave ,sadness
764,The child's face lit up with delight as they unwrapped a thoughtful and unexpected gift on their birthday.,surprise
765,He felt great grief when losing his father,sadness
766,Someone pointed their gun at my forehead and I immediately felt panicky.,fear
767,The constant upstairs noise pushed him to anger.,anger
768, She looked at him with revulsion.,disgust
769,Receiving an unexpected gift brings a smile to my face.,surprise
770,"I have won a lottery, but my daughter died day after, which led to a downwards spiral in the upcoming months, when my brother committed suicide followed by my daughter. I have psychopathic tendencies, so it saddens me, but it's okay.",sadness
771,Winning the surprise lottery ticket left me astonished at my luck.,surprise
772,The concert yesterday was ecstatic.,happiness
773,The sight of the moldy bread left me feeling grossed out.,disgust
774,Hearing strange noises outside my window gives me the creeps.,fear
775,They were startled by the strange noise.,fear
776,Discovering the unfair treatment she received at work ignited a fire of anger within me that I struggled to contain.,anger
777,I always feel empty inside after a festival.,sadness
778,I love the feeling of a nice refreshing beverage after a hard days work,happiness
779,Seeing her name on the list of finalists for the prestigious award filled him with disbelief and surprise. ,surprise
780,I feel lonely when I drink wine all by myself. ,sadness
781,The protagonist was dumbfounded after discovering his nemesis was still alive.,surprise
782,The magician's final trick was so incredible it astonished the entire audience.,surprise
783,"Finding a hidden note in the library book was a small but delightful surprise, connecting me to a stranger's kindness.",surprise
784,The late delivery of my package has left me really angry.,anger
785,The error in my code caught me of guard.,surprise
786,The smell that hangs inside a donkey stall is enough to make most stomachs turn.,disgust
787,I am frightened that I might get mugged at night.,fear
788,I'm stuck in sewage pipe,fear
789,My dad gets angry when I don't do my laundry.,anger
790,I cried when my cat died.,sadness
791,Alex felt powerless to change the situation as he watched his friend struggle.,sadness
792,Grieving the absence of someone dearly missed is a difficult journey.,sadness
793,I am sad.,sadness
794,It infuriates me when someone cuts me off while talking.,anger
795,"Every time she thought about the upcoming vacation, a sense of excitement bubbled up inside her.",happiness
796,The sight of the overflowing dumpster behind the restaurant was truly detestable.,disgust
797,What an unexpected finale ! ,surprise
798,The sight of the steep drop from the edge of the cliff made my legs tremble uncontrollably.,fear
799,Constant interruptions in the meeting fueled John's anger.,anger
800,My plane lost all engines,fear
801,Seeing my team win the championship filled me with pure happiness.,happiness
802,I am disgusted by you.,disgust
803,Winning the lottery was a real cause for celebration.,happiness
804,My anger at him is so bad that I want to burn all our photos.,anger
805,I always feel down when I think about my deceased dog.,sadness
806,I'm shocked that my sister is having a baby.,surprise
807,I got frustrated when my cake burned.,sadness
808,I am disgusted by criminals everytime I see them on TV.,disgust
809,I am full of rage after the results of today's match.,anger
810,"No way, I won the lottery!",surprise
811,"They planned a surprise birthday party for her, and she had no idea until she walked into the room.",surprise
812,"Every word spat out was laced with venom, dripping with resentment.",anger
813,I'm scared when I swim in the ocean and see sharks.,fear
814,I'm afraid of an earthquake when I'm in a skyscraper.,fear
815,I hate sweaty people.,anger
816,Seeing someone spit is disgusting.,disgust
817,My cousin is happy when the weather is snowy and he can ski.,happiness
818,Sally's heart skipped a beat as her childhood friend tapped her on the shoulder at the crowded airport.,surprise
819,"I can't stand even thinking about spiders, it is in my genes, it makes me shake uncontrollably.",disgust
820,It makes me sad when I have to do chores.,sadness
821,"Sometimes it's hard to control the surge of anger, but I strive to channel it constructively.",anger
822,The traffic lights are changing unusually quickly today.,anger
823,Brian felt left out when his friends did not invite him to hang out.,sadness
824,"To this day, he still feels grief.",sadness
825,"I avoid going to the public bathroom, because they are usually not clean.",disgust
826,I can't stand people that eat meat! They repel me,disgust
827,Accomplishing a challenging task  leaves me feeling both satisfied and proud.,happiness
828,I love the feeling of having a warm cup of tea in a cold day.,happiness
829,My sister likes to watch anime.,happiness
830,Centipedes freak me out.,fear
831,Seeing someone litter in a pristine natural area sparks an anger in me that's hard to quell.,anger
832,My boyfriend and I have been told that we are getting a puppy today!,surprise
833,I like the feeling of accomplishment.,happiness
834,I hate when my ice cream melts in summer. ,anger
835,He was inspired by her speech. ,happiness
836,My eyes tear up every time I think about birds dying on plastic.,sadness
837,I'm very interested in the book I got for my birthday. ,happiness
838,I am so frustrated right now.,sadness
839,It makes me angry when I'm stuck in traffic.,anger
840,She felt bitter when her friend made a distasteful comment about her new dress.,anger
841,The smell emanating from the neglected refrigerator was enough to induce a strong feeling of disgust and a quick retreat.,disgust
842,"I hate touching the garbage, it's filthy.",disgust
843,I'm so tired of people making fun of me. ,sadness
844,She recoiled in disgust at the sight of the moldy food lurking in the back of the refrigerator.,disgust
845,The sudden loud noise in the dark alley made me jump in fear.,fear
846,The day we run out of coffee really gets me thinking.,sadness
847,I received double the amount of bonuses than I presumed.,surprise
848,My mother likes to create schedules,happiness
849,I just completed 20km bike ride,happiness
850,The nauseating sound of someone slurping soup at the dinner table instantly repelled my dad.,disgust
851,"The unexpected promotion left him wide-eyed and speechless, a pleasant surprise in the midst of a regular workday.",surprise
852,Seeing flies eat food is gross.,disgust
853,I wish it wasn't so windy outside.,sadness
854,The test was really confusing for some people.,surprise
855,I really did not expect that farewell party.,surprise
856,Feeling vulnerable in unfamiliar territory can be paralyzing.,fear
857,Finding a cockroach crawling in the kitchen sink evoked a visceral sense of disgust and repulsion.,disgust
858,I am surprised you are still here.,surprise
859,"A breakup is always a tough pill to swallow, and it's left me feeling really down.",sadness
860,My sister gets irritated when people are walking slow in front of her.,anger
861,Spotting a shooting star during the meteor shower was a delightful and magical astonishment.,surprise
862,I was in shock when my friend told me that my boyfriend was cheating on me.,surprise
863,What a surprise!,surprise
864,This weather is making me melancholic. ,sadness
865,Seeing someone litter in such a beautiful park is truly disgusting.,disgust
866,They couldn't believe they won the competition,surprise
867,having to clean up a drain that is clogged with hair,disgust
868,The sight of chewed-up gum under tables makes his skin crawl.,disgust
869,The audience were amazed at the girls beautiful singing.,surprise
870,"Betrayal cuts deep, leaving behind a trail of anger.",anger
871,They scoffed at the idea that the project could be completed in a week.,happiness
872,They are repulsed by the idea of eating insects.,disgust
873,I'm confident we are going to have a great summer holiday!,happiness
874,Do I really have to do this?,anger
875,I feel very excited every time I meet my friends especially when I haven't seen them in a while.,happiness
876,I feel depressed when I have to fill my logs at the end of the block.,sadness
877,I never would have expected that she would do this.,surprise
878,He felt a surge of anxiety.,sadness
879,"I wanted to break up with my boyfriend, but he broke up with me before I told him.",sadness
880,I get sad when I don't have any more candy,sadness
881,I get aggressive when I see someone ignoring their kid.,anger
882,I'm turned off by people who lie.,disgust
883,I was disappointed by my rejection from Harvard.,sadness
884,Jane felt a wave of sadness reading her friend's farewell letter.,sadness
885,Waking up early for a 12+ hour work day is very unfortunate.,sadness
886,Meeting with friends is fun.,happiness
887,Injustice ignites a fire within me that's hard to quench.,anger
888,"Finding the old, forgotten letter in the book was an unexpected delight.",surprise
889,I passed my exams,happiness
890,"Children's laughter filled the park, spreading joy to all.",happiness
891,I get irritated when we lose a LOL game.,anger
892,"Ignored requests tested Sarah's patience, triggering a burst of anger.",anger
893,Unexpected twists and turns in a story keep me on the edge of my seat.,surprise
894,Winning the game made him jump with excitement.,happiness
895,The sudden appearance of a rainbow after the storm left me speechless.,surprise
896,Feeling deceived by someone I trusted leaves me feeling repulsed.,sadness
897,The view is so amazing that I don't know what to say.,surprise
898,Finding a handwritten letter from a long-lost friend was truly surprising.,surprise
899,How is this one working better than mine?,surprise
900,it enrages me whenever a movie or show doesn't follow a single plot line through,anger
901,Egg mustard is disgusting.,disgust
902,They were so passionate about this project.,happiness
903,The first sunny day after a long grey winter made me happy.,happiness
904,I reconsidered taking a swim once I saw how dirty the water at the public swimming pool is.,disgust
905,Getting punched in the face like that makes my blood boil.,anger
906,"Eyes narrowed into icy daggers, burning with indignation.",anger
907,Jade gets really annoyed when her roommate does not clean up after himself.,anger
908,It's so frustrating when your code keeps giving errors!,anger
909,I tend to get really irritated when things don't go my way.,anger
910,"I thought I was hoping for the worst, it turned out to be even worse.",surprise
911,I am happy because I won the lottery.,happiness
912,The news of his departure left a deep sadness in our hearts.,sadness
913,Spring is a wonderful season.,happiness
914,I am afraid of big snakes like pythons.,fear
915,The death of his brother left him completely perplexed.,sadness
916,I hate that public transportation always has delays when I need to go to school.,anger
917,Rachel was afraid that Ross was going to cheat while they were on a break.,fear
918,The smell of coffee in the morning is wonderful.,happiness
919,I get happy when I'm gaming,happiness
920,"He felt a deep sense of loathing towards the spoiled, rotten food in the fridge.",disgust
921,It makes me feel so joyful when I'm on holiday.,happiness
922,I find it revolting when someone sticks their finger up their nose.,disgust
923,This food was far overdue it was so nasty.,disgust
924,COVID-19 has brought great depression upon humanity.,sadness
925,I get angry when someone isn't honest,anger
926,I found myself in an uncomfortable situation at my friend's party. ,sadness
927,The carnival lasts 5 days?!,surprise
928,I don't want to go to sleep because of the previous nightmare.,sadness
929,I feel sad because I know I shouldn't drink coffee every day,sadness
930,Jack felt melancholic every time he called his grandparents.,sadness
931,When John died I felt really bad.,sadness
932,The last song in the concert left me speechless.,surprise
933,They grieved about the lose of their beloved dog.,sadness
934,"I need to be under constant pressure and stress, because I feel like my life would fall apart as a consequence of crippling boredom. ",sadness
935,I really don't want to stay here any longer.,anger
936,He got so mad when someone punched him in the face.,anger
937,He likes when his mom cooks.,happiness
938,I always laugh when I think about last summer.,happiness
939,Water outlet is clogged with hair,disgust
940,He cries every time it snows.,sadness
941,"The twist at the end of the movie was so unexpected, it left me in awe.",surprise
942,The creaking noise upstairs when I'm alone sends chills down my spine.,fear
943,"My father always has to leave, when rap music starts playing, he detests it.",anger
944,The flu has me feeling as miserable as ever.,sadness
945,"When I'm driving, other drivers will annoy me",anger
946,"I am honestly on the edge of throwing up, do not show me that video ever again.",disgust
947,The news of her passing left a heavy sadness in my heart.,sadness
948,I am somber whenever my favorite ice cream is out of stock.,sadness
949, Seeing injustice in the world fills me with righteous anger.,anger
950,"In sports, happiness reigns when teammates prioritize teamwork over ego, uniting for victory as one.",happiness
951,Thinking about the upcoming exam makes me feel anxious and jittery.,fear
952,I love it when the weekend starts,happiness
953,I get frustrated when my roommates are not clearing after themselves.,anger
954,I was surprised when a bouquet of flowers arrived on my doorstep,surprise
955,She was too stunned to speak when she saw the married couple.,surprise
956,"She resented being overlooked for the promotion, her bitterness growing each day.",anger
957,My mom was stunned by the gift she received this morning.,surprise
958,He was amazed by the show put up by his favourite band.,happiness
959,I'm scared that someone is looking inside my window. ,fear
960,"I went to Zakopane, it was great!",happiness
961,"Sarah's eyes widened in fear at the shadowy figure in the alley, prompting her to quicken her pace.",fear
962, It would definitely be difficult if there were to be a war.,sadness
963,I love taking a walk during the evenning!,happiness
964,I was very grateful for the opportunity to meet the president.,happiness
965,"The news of the unexpected event shocked the community, leaving many in disbelief.",surprise
966,Finding her car scratched left her seething with frustration.,anger
967,?he bad smell repels me.,disgust
968,A gasp escaped her lips as she stumbled upon the unexpected treasure hidden in the attic.,surprise
969,I never saw that plot twist coming; it completely shocked me.,surprise
970,I feel so lonely when my friends do not have time to meet.,sadness
971,I jump in fear when I heard the unexpected loud explosion in my neighborhood.,fear
972,She spent the night fretting about the impending storm.,fear
973,I dance when I'm at the beach with my friends.,happiness
974,I didn't expect to pass my year,surprise
975,"Fortunately, I passed my exam.",happiness
976,What happened was so unexpected!,surprise
977,I have always been scared of rats.,fear
978,I am happy.,happiness
979,My cat died yesterday and it hurts me a lot.,sadness
980,My cousin is afraid of the dark.,fear
981,It's infuriating when people don't respect personal boundaries.,anger
982,The possibility of failing a test keeps him up at night.,fear
983,Losing my 4G signal when I need it the most makes me furious.,anger
984,I get a sick feeling when I step into water while wearing socks.,disgust
985,Mom raised her voice in anger when she found out her son had skipped school.,anger
986,Mona was truly appalled when I noticed a stranger coughing openly without covering their mouth,disgust
987,The milk has gone bad.,disgust
988,Ice cream on a hot day is pure bliss.,happiness
989,"The rainy day matches my mood, i am depressed.",sadness
990,The slimy texture of the overcooked vegetables made her stomach turn in revulsion.,disgust
991,Your constant interruptions are making me quite annoyed.,anger
992,The server not working is really getting on my nerves,anger
993,I feel overwhelmed with sadness,sadness
994,Hearing the howl of a wolf in the distance while camping made my heart race with fright.,fear
995,I hate it when I have to do software updates.,anger
996,It makes my blood boil when I am being interrupted.,anger
997,I'm hurt when people tell me smoking is bad.,sadness
998,I feel incredibly disgusted when someone leaves rotten food in a shared fridge,disgust
999,It is sad when there is nothing to eat.,sadness
1000,"The sight of the spoiled food repulsed her, and she quickly threw it away.",anger
1001,I was embarrassed when I tripped while walking.,sadness
1002,There's still a bit of ice cream left in the fridge.,happiness
1003,Tension simmered between the two colleagues.,anger
1004,Winning the lottery was such an unexpected turn of events that it took him a moment to register the reality.,surprise
1005,I am absolutely terrified by clowns. ,fear
1006,The sight and smell of spoiled food turn my stomach.,disgust
1007,Rainy days really crush my motivation and drive.,sadness
1008,He laughed so hard that tears started streaming down his cheeks.,happiness
1009,The feeling of being watched make me scared every time I go out at night.,fear
1010,Hearing that song always brings a feeling of nostalgia and sadness.,sadness
1011,It is great that I succeeded last block.,happiness
1012,Watching her child take their first steps brought tears of happiness to her eyes,happiness
1013,I feel like I'm being followed.,fear
1014,I am immensely grieving the death of my best friend.,sadness
1015,I wasn't expecting those prices.,surprise
1016,Losing my pet was a real source of sorrow for me.,sadness
1017,I don't even know what to say.,surprise
1018,The food I had yesterday was very gross.,disgust
1019,The twist at the end of the movie left everyone speechless.,surprise
1020,I like my new shoes they look good on me.,happiness
1021,It is a great day for a walk.,happiness
1022,I would panic if someone would whisper my name at night. ,fear
1023,I get scared when I have to cook in my girlfriend's kitchen!,fear
1024,seeing the sun set behind the mountains is always a joyfull site at the end of the day.,happiness
1025,I can't do it anymore.,anger
1026,"Ew, he hasn't showered in days.",disgust
1027,Rose felt the worst heartache of her life after the breakup.,sadness
1028,Children laugh and play in the nearby park and their joy could be heard all around.,happiness
1029,"The sudden announcement of a snow day brought a joyous surprise, changing our routine into an adventure.",surprise
1030,My father was in a good mood today.,happiness
1031,"Whenever it rains, my mood goes down.",sadness
1032,I was grossed out by his lack of hygiene.,disgust
1033,Being woken up at 3am by extremely strong bass of neighbour,anger
1034,The thought of public speaking fills me with paralyzing dread.,fear
1035,Computers working however it wants instead of how I want,anger
1036,The cause of the ancient civilization's disappearance continues to baffle archaeologists.,surprise
1037,Missing a flight fills me with rage.,anger
1038,Great heights make me feel jittery.,fear
1039,I get angry when I spill coffee on my clothes,anger
1040,My trash started decomposing,disgust
1041,Why does he always have to annoy me?,anger
1042,"The sudden bark of a dog in silence makes me jump out of my skin, adrenaline surging.",fear
1043,I feel nauseous when I think about raw food.,disgust
1044,I can't stand it when someone lies to me directly.,anger
1045,"His voice rose, sharp and cutting, each word slicing through the air.",anger
1046,Shivers ran down her spine as she heard footsteps approaching in the darkness.,fear
1047,The thought of losing loved ones fills me with dread.,sadness
1048,Opening the refrigerator and finding expired milk disgusted me.,disgust
1049,They feel grossed out when they see someone sneeze without covering their mouth.,disgust
1050,The gruesome halls of this forsaken hospital horrify me.,fear
1051,Watching the news is upsetting to me.,sadness
1052,People being increadibly stupid,anger
1053,Having a conversation with somebody that can not admit that they are wrong can make the conversation heated.,anger
1054,Watching a horror movie alone at night always makes me feel terrified.,fear
1055,I was shaken by the sudden change in her mood.,surprise
1056,My dogs get all jumpy and excited when I get home from work!,happiness
1057,"Thunderstorms always scare me, especially the loud thunder.",fear
1058,He feels annoyed when people ask him atupid questions.,anger
1059,I have no words to describe how excited I am for the future of AI.,happiness
1060,"It works now, let's go!",happiness
1061,I was taken aback by when the band announced their comeback.,surprise
1062,The kid always throws a tantrum when it's her bedtime.,anger
1063,My sister loves to sing,happiness
1064,"Watching a suspenseful movie, the anticipation of the unknown conjured an irrational fear, gripping my heart.",fear
1065,Seeing people cry makes me want to cry.,sadness
1066,"The idea of getting lost in the vast, empty desert terrified her more than anything.",fear
1067,I love it when Bitcoin pumps!,happiness
1068,I�ve been on cloud nine ever since I landed my dream job.,happiness
1069, What a coincidence to wear the same colour shirt!,surprise
1070,"Seeing an old picture reminded me of happier times, making me feel sad.",sadness
1071,It disgusted me to see my ex again.,disgust
1072,"My brother beats his wife on daily basis, my father always desperately yells at him while beating him up in return.",anger
1073,"His voice cracked as he tried to speak, the weight of his grief too heavy to bear.",sadness
1074,The sunny weather always lifts my spirit.,happiness
1075,My mom gets worried for my sister's career choices. ,fear
1076,I miss my family so much when I am away from them.,sadness
1077,"I am so sorry, that was my fault.",sadness
1078,The view from the mountaintop left me speechless.,surprise
1079,The sight of a rainbow after a heavy downpour filled her heart with pure joy. ,happiness
1080,I'm surprised when they give me a new car.,surprise
1081,The mere thought of public speaking filled her with loathing.,anger
1082,"I just ate some goulash, it was so good.",happiness
1083,Someone being late makes me angry.,anger
1084,We are meeting each other after such a long time.,happiness
1085,After the accident he was in shook for a couple of days.,surprise
1086,The idea of putting pineapple on pizza made him vomit.,disgust
1087,"Eyes wide with fear, she scanned the room for any sign of movement.",fear
